User_id,Year_of_birth,Gender
3713087409444908179,1982,1
7554402398462747209,1992,0
1687604933839263903,1986,1
7587835399775615123,1982,0
6799016569077159595,1975,0
3931382871812074699,1988,1
12537339823401377707,1976,0
12103071391255617195,2003,1
13254279160075733155,2007,0
11810623543503937569,1973,0
4615867097852365569,1997,1
10677889990876603177,1981,0
16570399437810563339,1984,1
13984037253600408657,2005,1
2721833483929355297,1954,0
10069732865407836161,1955,1
11777622489314223369,1951,1
3291887422577527567,1999,0
7037657696988502289,1996,1
8942250407897999649,2002,0
13469134725869320591,2008,1
11247919067201386145,1997,0
3181896444873603465,1977,0
6634840205812883145,1996,1
10109409942561827587,1957,1
4006742579462881539,1988,0
11498948111487739337,1958,1
841050106413958795,2006,1
2009687574379194575,1981,1
6746436157589238223,1974,1
17928414209971494799,1965,1
12746050356296447049,1996,0
13144273147544681609,1977,1
17057980477732907009,1984,1
39967702854399755,1951,0
14795309059720435471,1987,0
16264149150013004239,1986,0
11483833140671934659,1987,1
10530765771743995087,2006,0
2056813848934629129,1990,1
13875448238205934025,1971,1
4946724059288083913,1976,1
12921389584041040591,1991,1
15495261417278652959,1953,0
3726794790457042849,1990,1
9100408984360915721,1990,1
16783132851279591209,1962,1
7064562472835940043,1957,0
12817345397512435147,1968,0
16083349542352972753,1971,1
18383095386087086867,1984,1
11605508742042273793,1976,1
11591558756558297153,2009,1
16812671964309808939,1956,1
3949474682545002443,1962,0
13270770175609822281,1959,0
573869312378194059,1989,0
4112023282148022225,1965,1
9207900010505696131,1977,0
13156942001539135439,1964,1
14749074756313841225,1959,1
6901071304456170129,1956,1
5692348060372022185,1989,1
3037154695540926377,1958,1
3928275691346545193,1961,0
4786959511535113385,1972,1
15619608526339012881,1999,1
9425187276699497643,1955,0
3393622130461252041,2000,0
16811274277576641427,1955,1
14834838073254058891,2008,0
14194666157202778145,1978,0
14389139377585380235,2008,0
2084390834126542995,1986,0
8531155257923893321,1994,1
4465381122219408297,1952,0
5770308651244165193,1966,0
7492060342005607363,1957,1
16393789852441242913,1967,1
7374583479094427041,1957,1
3626184881967440543,1969,1
6009233687743569835,1974,1
17967349306691248169,1953,1
10882800411041019091,1991,1
15001264432045962817,1983,0
633274319950429249,1965,0
8848836842668303273,1981,0
5322527058311143425,1955,0
16617104003672265937,1984,0
14463007845220462785,2005,1
13051620844852784159,1969,0
9262329334761840529,1990,1
10424445716059750815,1957,0
8983006981590678159,1992,0
8048558844202795081,1967,1
12456003227171174335,1960,0
